gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1052802722																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_ familiaris_Tre_N_47_27_2		Tretzel, Erwin																																	1980-04-01																						DE					Garmisch-Partenkirchen		786											47.493333	11.063611																																																						Canis lupus f. familiaris (Linnaeus, 1758)																												
1052802719																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_familiaris_S_1443_11_2		Löhn, Janet and Berger, Anne																																	1992-03-18																						DE					Birken-Honigsessen																																																																				Canis lupus f. familiaris (Linnaeus, 1758)																												
1052802718																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_familiaris_S_1443_13_2		Löhn, Janet and Berger, Anne																																	1992-03-18 10:50																						DE					Birken-Honigsessen																																																																				Canis lupus f. familiaris (Linnaeus, 1758)																												
1052802717																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_familiaris_S_1443_1_1		Frommolt, Karl-Heinz																																	1992-03-17 10:00																						DE					Kürten-Eichhof																																																																				Canis lupus f. familiaris (Linnaeus, 1758)																												
1052802716																																																											MfN	TSA			Sound Recording					TSA:Canis_lupus_f_familiaris_S_1443_17_2		Löhn, Janet and Berger, Anne																																	1992-03-18 11:30																						DE					Birken-Honigsessen																																																																				Canis lupus f. familiaris (Linnaeus, 1758)																												
1052779624																																																											MfN	TSA			Sound Recording					TSA:Ailuropoda_melanoleuca_S_43_1_1		Tembrock, Günter																																	1958-08-21																						DE					Tierpark Berlin																																																																				Ailuropoda melanoleuca David, 1869																												
991936481																																																											MfN	TSA			Sound Recording					TSA:Panthera_tigris_S_674_1_1		Tembrock, Günter																																	1962-01-13 15:00																						DE					Tierpark Berlin																																																																				Panthera tigris Linnaeus, 1758																												
991908128																																																											MfN	TSA			Sound Recording					TSA:Martes_foina_DIG_181_1_1		Buhl, Johannes																																	2012-12-06 2:30																						DE					Augsburg													48.304167	10.925																																																						Martes foina Erxleben, 1777																												
991907429																																																											MfN	TSA			Sound Recording					TSA:Lynx_lynx_S_674_2_1		Tembrock, Günter																																	1962-01-13 15:00																						DE					Tierpark Berlin																																																																				Lynx lynx Linnaeus, 1758																												
893492002																																																											MfN	TSA			Sound Recording					TSA:Zalophus_californianus_V_2124_10_1		Tembrock, Günter																																	2005-08-26 14:36																						DE					Zoo Berlin																																																																				Zalophus californianus Lesson, 1828																												
893492000																																																											MfN	TSA			Sound Recording					TSA:Zalophus_californianus_V_2061_19_2		Tembrock, Günter																																	1998-10-02 14:50																						DE					Tiergarten Wilhelma/Stuttgart																																																																				Zalophus californianus Lesson, 1828																												
893491999																																																											MfN	TSA			Sound Recording					TSA:Zalophus_californianus_V_2130_2_1		Tembrock, Günter																																	2006-06-07 15:30																						DE					Zoo Berlin																																																																				Zalophus californianus Lesson, 1828																												
893491998																																																											MfN	TSA			Sound Recording					TSA:Zalophus_californianus_V_2132_8_1		Tembrock, Günter																																	2007-06-07 15:30																						DE					Zoo Berlin																																																																				Zalophus californianus Lesson, 1828																												
